 ,x,1 (img_000000000_Default_000.tif),2 (img_000000001_Default_000.tif),3 (img_000000002_Default_000.tif),4 (img_000000003_Default_000.tif),5 (img_000000004_Default_000.tif),6 (img_000000005_Default_000.tif),7 (img_000000006_Default_000.tif),8 (img_000000007_Default_000.tif),9 (img_000000008_Default_000.tif),10 (img_000000009_Default_000.tif),11 (img_000000010_Default_000.tif),12 (img_000000011_Default_000.tif),13 (img_000000012_Default_000.tif),14 (img_000000013_Default_000.tif),15 (img_000000014_Default_000.tif),16 (img_000000015_Default_000.tif),17 (img_000000016_Default_000.tif),18 (img_000000017_Default_000.tif),19 (img_000000018_Default_000.tif),20 (img_000000019_Default_000.tif),21 (img_000000020_Default_000.tif),22 (img_000000021_Default_000.tif),23 (img_000000022_Default_000.tif),24 (img_000000023_Default_000.tif),25 (img_000000024_Default_000.tif),26 (img_000000025_Default_000.tif),27 (img_000000026_Default_000.tif),28 (img_000000027_Default_000.tif),29 (img_000000028_Default_000.tif),30 (img_000000029_Default_000.tif),31 (img_000000030_Default_000.tif),32 (img_000000031_Default_000.tif),33 (img_000000032_Default_000.tif),34 (img_000000033_Default_000.tif),35 (img_000000034_Default_000.tif),36 (img_000000035_Default_000.tif),37 (img_000000036_Default_000.tif),38 (img_000000037_Default_000.tif),39 (img_000000038_Default_000.tif),40 (img_000000039_Default_000.tif),41 (img_000000040_Default_000.tif),42 (img_000000041_Default_000.tif),43 (img_000000042_Default_000.tif),44 (img_000000043_Default_000.tif),45 (img_000000044_Default_000.tif),46 (img_000000045_Default_000.tif),47 (img_000000046_Default_000.tif),48 (img_000000047_Default_000.tif),49 (img_000000048_Default_000.tif),50 (img_000000049_Default_000.tif),51 (img_000000050_Default_000.tif),52 (img_000000051_Default_000.tif),53 (img_000000052_Default_000.tif),54 (img_000000053_Default_000.tif),55 (img_000000054_Default_000.tif),56 (img_000000055_Default_000.tif),57 (img_000000056_Default_000.tif),58 (img_000000057_Default_000.tif),59 (img_000000058_Default_000.tif),60 (img_000000059_Default_000.tif),61 (img_000000060_Default_000.tif),62 (img_000000061_Default_000.tif),63 (img_000000062_Default_000.tif),64 (img_000000063_Default_000.tif),65 (img_000000064_Default_000.tif),66 (img_000000065_Default_000.tif),67 (img_000000066_Default_000.tif),68 (img_000000067_Default_000.tif),69 (img_000000068_Default_000.tif),70 (img_000000069_Default_000.tif),71 (img_000000070_Default_000.tif),72 (img_000000071_Default_000.tif),73 (img_000000072_Default_000.tif),74 (img_000000073_Default_000.tif),75 (img_000000074_Default_000.tif),76 (img_000000075_Default_000.tif),77 (img_000000076_Default_000.tif),78 (img_000000077_Default_000.tif),79 (img_000000078_Default_000.tif),80 (img_000000079_Default_000.tif),81 (img_000000080_Default_000.tif),82 (img_000000081_Default_000.tif),83 (img_000000082_Default_000.tif),84 (img_000000083_Default_000.tif),85 (img_000000084_Default_000.tif),86 (img_000000085_Default_000.tif),87 (img_000000086_Default_000.tif),88 (img_000000087_Default_000.tif),89 (img_000000088_Default_000.tif),90 (img_000000089_Default_000.tif),91 (img_000000090_Default_000.tif),92 (img_000000091_Default_000.tif),93 (img_000000092_Default_000.tif),94 (img_000000093_Default_000.tif),95 (img_000000094_Default_000.tif),96 (img_000000095_Default_000.tif),97 (img_000000096_Default_000.tif),98 (img_000000097_Default_000.tif),99 (img_000000098_Default_000.tif),100 (img_000000099_Default_000.tif),101 (img_000000100_Default_000.tif),102 (img_000000101_Default_000.tif),103 (img_000000102_Default_000.tif),104 (img_000000103_Default_000.tif),105 (img_000000104_Default_000.tif),106 (img_000000105_Default_000.tif),107 (img_000000106_Default_000.tif),108 (img_000000107_Default_000.tif),109 (img_000000108_Default_000.tif),110 (img_000000109_Default_000.tif),111 (img_000000110_Default_000.tif),112 (img_000000111_Default_000.tif),113 (img_000000112_Default_000.tif),114 (img_000000113_Default_000.tif),115 (img_000000114_Default_000.tif),116 (img_000000115_Default_000.tif),117 (img_000000116_Default_000.tif),118 (img_000000117_Default_000.tif),119 (img_000000118_Default_000.tif),120 (img_000000119_Default_000.tif),121 (img_000000120_Default_000.tif),122 (img_000000121_Default_000.tif),123 (img_000000122_Default_000.tif),124 (img_000000123_Default_000.tif),125 (img_000000124_Default_000.tif),126 (img_000000125_Default_000.tif),127 (img_000000126_Default_000.tif),128 (img_000000127_Default_000.tif),129 (img_000000128_Default_000.tif),130 (img_000000129_Default_000.tif),131 (img_000000130_Default_000.tif),132 (img_000000131_Default_000.tif),133 (img_000000132_Default_000.tif),134 (img_000000133_Default_000.tif),135 (img_000000134_Default_000.tif),136 (img_000000135_Default_000.tif),137 (img_000000136_Default_000.tif),138 (img_000000137_Default_000.tif),139 (img_000000138_Default_000.tif),140 (img_000000139_Default_000.tif),141 (img_000000140_Default_000.tif),142 (img_000000141_Default_000.tif),143 (img_000000142_Default_000.tif),144 (img_000000143_Default_000.tif),145 (img_000000144_Default_000.tif),146 (img_000000145_Default_000.tif),147 (img_000000146_Default_000.tif),148 (img_000000147_Default_000.tif),149 (img_000000148_Default_000.tif),150 (img_000000149_Default_000.tif),151 (img_000000150_Default_000.tif)
424,423,18958.409,19588.976,19872.940,18830.649,18900.471,18673.251,18851.493,19630.111,19631.482,18571.304,18522.799,18092.622,18879.000,18917.886,18370.079,18487.346,18591.611,18264.924,17763.309,17274.383,17901.284,18870.103,18371.309,19004.480,18481.656,18498.390,18419.132,18100.416,17892.247,18391.307,19165.317,17970.162,17083.800,16726.613,17951.952,17755.959,17165.638,20302.739,18150.315,17292.603,18154.420,18116.958,19110.671,18430.435,18324.471,19012.505,18689.280,19082.184,18418.766,18315.309,18329.793,19339.869,19638.368,19542.116,19579.346,18796.025,18812.057,18502.492,19728.251,21181.228,22014.045,23375.621,21112.745,20337.917,20779.511,21589.995,21297.004,19439.599,19534.789,19645.162,19767.966,20148.610,20890.697,21176.742,21477.217,20519.743,21674.646,21202.285,19946.024,19659.177,20282.852,19880.811,19997.009,19654.477,19984.245,20247.324,20978.474,19975.209,19560.943,19689.110,19258.681,19666.521,20097.755,20355.644,21153.617,20993.637,21179.050,20616.960,20415.492,21261.402,20847.803,20145.772,21474.750,21574.733,20655.746,19955.253,21312.762,20602.440,21039.722,21715.168,20363.271,20768.906,20473.397,20040.788,20052.946,21129.848,20427.813,20369.989,21012.068,21087.287,20431.814,20365.761,21550.485,20805.306,20786.808,20646.905,21145.761,21560.615,20968.226,20528.789,20846.514,20115.118,20557.307,20211.738,20546.270,20341.751,21150.775,20389.702,19912.787,19615.358,19652.149,20310.118,21033.831,19960.787,20379.917,20134.557,21444.623,20758.993,21291.904,20736.918,22494.637
425,424,19042.086,19586.941,19840.433,18831.554,18958.249,18685.100,18947.358,19692.585,19656.347,18602.458,18536.721,18078.600,18936.750,18933.650,18413.592,18492.843,18557.176,18271.610,17775.963,17295.951,17930.689,18932.085,18439.149,18976.533,18516.073,18490.730,18437.789,18135.101,17876.206,18370.539,19197.515,18000.181,17109.663,16709.439,17929.251,17777.284,17171.921,20315.022,18160.040,17348.055,18206.895,18102.936,19152.239,18452.640,18383.618,19018.317,18725.758,19116.595,18427.606,18331.045,18378.601,19361.787,19713.497,19616.223,19611.000,18762.145,18781.777,18527.430,19754.706,21157.372,22003.427,23363.701,21182.572,20335.122,20842.184,21579.329,21295.994,19395.662,19562.423,19703.831,19813.822,20157.335,20870.169,21128.114,21478.290,20518.855,21665.181,21203.685,19960.508,19723.492,20305.477,19885.656,19993.360,19677.049,20037.169,20264.146,20966.431,19959.972,19605.140,19706.693,19269.669,19694.408,20150.345,20418.519,21183.177,21028.608,21193.645,20598.507,20484.812,21308.974,20840.918,20163.726,21497.378,21590.973,20646.497,19987.961,21392.085,20571.224,21075.924,21743.004,20408.303,20772.600,20519.407,20113.445,20073.721,21145.526,20439.266,20383.744,21054.838,21101.138,20463.540,20374.637,21597.416,20838.590,20769.385,20630.997,21147.727,21644.879,20933.825,20560.444,20882.872,20108.173,20561.636,20263.417,20557.877,20304.760,21120.271,20350.704,19952.423,19659.512,19665.663,20282.802,21034.000,19962.424,20428.289,20218.414,21483.664,20786.832,21321.221,20786.315,22497.347
426,425,19126.633,19590.186,19839.873,18835.306,19003.453,18675.041,19017.415,19712.051,19717.898,18652.199,18521.893,18043.721,19041.166,18951.442,18523.532,18526.479,18540.962,18257.236,17755.878,17298.391,17918.278,18946.262,18492.995,18909.745,18526.880,18494.101,18494.669,18170.826,17864.466,18333.680,19212.114,17995.701,17185.613,16709.125,17967.560,17773.243,17169.319,20353.074,18210.105,17441.047,18208.569,18122.445,19157.751,18479.380,18439.560,19051.823,18743.806,19121.682,18440.336,18380.462,18412.067,19387.262,19731.962,19640.401,19654.904,18734.083,18790.078,18512.436,19766.128,21142.814,22021.796,23338.270,21202.982,20317.487,20879.886,21573.216,21286.090,19392.506,19587.613,19733.129,19862.184,20199.391,20900.259,21103.578,21466.818,20539.332,21689.477,21187.071,20010.407,19750.515,20322.486,19884.733,19993.033,19706.527,20030.811,20258.492,21003.159,19964.433,19642.746,19728.143,19281.861,19723.762,20156.557,20441.871,21209.687,21040.258,21175.117,20628.894,20527.961,21322.545,20849.024,20190.548,21554.041,21629.574,20644.782,20011.540,21424.201,20610.042,21113.244,21716.011,20433.391,20778.205,20537.765,20101.462,20114.632,21132.865,20473.215,20396.767,21083.813,21145.334,20463.879,20440.668,21578.771,20896.150,20732.822,20664.164,21185.264,21689.053,20933.443,20571.062,20896.960,20122.329,20595.860,20283.758,20573.745,20290.837,21146.876,20372.215,20019.375,19700.246,19755.628,20276.968,21026.922,19996.583,20481.491,20261.589,21475.030,20859.063,21324.273,20824.392,22467.259
427,426,19221.435,19601.656,19795.752,18833.416,19050.584,18664.745,19075.807,19757.299,19778.169,18680.370,18553.193,18064.084,19136.828,18963.873,18628.101,18573.231,18549.926,18242.626,17758.257,17368.214,17967.808,18941.089,18520.657,18900.188,18546.755,18535.272,18523.246,18187.806,17835.965,18336.598,19214.434,17989.052,17211.561,16696.113,18015.043,17820.728,17186.597,20386.635,18211.323,17527.154,18177.887,18112.147,19179.354,18536.037,18488.753,19081.532,18754.189,19138.718,18466.420,18384.690,18450.853,19407.086,19761.341,19664.842,19660.124,18719.330,18797.792,18496.192,19758.393,21112.959,22039.238,23332.262,21264.169,20287.881,20912.282,21574.021,21316.751,19368.940,19605.957,19733.985,19955.066,20222.970,20912.145,21054.925,21428.073,20545.072,21731.864,21222.085,20042.755,19787.941,20313.481,19869.229,20043.093,19686.063,20035.494,20240.071,20998.167,19954.809,19690.896,19784.576,19274.935,19736.863,20188.723,20464.247,21222.260,21068.555,21191.340,20628.535,20555.391,21380.025,20896.084,20205.704,21578.927,21631.493,20633.592,20041.334,21477.764,20619.446,21141.286,21719.432,20480.592,20807.647,20562.616,20131.820,20113.010,21160.009,20481.092,20366.068,21118.175,21129.237,20487.975,20473.947,21581.686,20927.913,20721.756,20714.535,21196.868,21768.612,20913.237,20608.829,20931.548,20148.521,20568.428,20313.712,20627.723,20277.010,21125.684,20352.971,20033.501,19745.693,19790.735,20247.522,21081.777,20018.439,20515.864,20343.784,21496.716,20876.665,21330.154,20825.503,22453.956
428,427,19293.549,19586.093,19718.786,18817.584,19089.441,18631.493,19084.806,19800.471,19823.985,18670.801,18529.865,18081.902,19188.738,18928.092,18674.853,18575.703,18511.742,18183.439,17725.385,17439.572,17973.780,18882.272,18605.742,18879.458,18527.774,18554.515,18497.801,18203.111,17789.848,18300.761,19220.807,17949.094,17243.914,16683.928,17989.747,17846.079,17186.711,20414.217,18226.701,17582.549,18209.852,18106.026,19185.107,18567.828,18501.143,19123.067,18759.297,19204.214,18484.356,18424.064,18522.116,19391.838,19782.411,19709.683,19661.719,18704.633,18816.044,18506.299,19775.644,21099.090,22063.445,23311.902,21303.631,20296.514,20921.548,21522.343,21337.982,19370.188,19659.334,19747.829,19982.779,20264.210,20941.113,21041.090,21412.147,20542.623,21770.735,21241.379,20122.885,19805.623,20315.858,19876.718,20047.180,19716.767,20055.192,20254.545,21011.879,20009.458,19715.310,19801.698,19258.074,19754.826,20195.900,20478.477,21217.187,21037.212,21164.300,20649.292,20601.096,21404.028,20894.850,20224.551,21582.734,21642.029,20652.536,20054.277,21466.861,20639.512,21141.174,21712.380,20545.697,20787.928,20565.495,20147.111,20101.273,21157.703,20471.783,20331.205,21149.167,21130.650,20495.909,20511.915,21626.416,20961.190,20725.917,20754.309,21253.989,21804.875,20914.726,20590.886,20967.665,20160.393,20579.818,20311.269,20647.464,20288.140,21117.683,20374.356,20070.812,19773.982,19841.733,20247.047,21079.725,20032.584,20518.299,20431.921,21495.580,20946.157,21330.154,20858.453,22416.760
429,428,19383.127,19619.776,19663.188,18850.713,19152.184,18625.795,19094.147,19874.462,19885.098,18693.540,18551.481,18108.906,19247.671,18941.264,18717.947,18571.886,18520.447,18160.710,17720.264,17537.575,17958.154,18845.008,18637.501,18829.263,18505.693,18566.199,18495.564,18261.619,17788.430,18271.962,19230.254,17957.285,17247.187,16687.039,18027.495,17889.441,17208.959,20457.390,18278.834,17659.071,18236.631,18086.257,19158.333,18584.836,18558.161,19167.809,18730.393,19181.570,18498.623,18446.823,18562.443,19397.414,19806.744,19748.349,19684.342,18724.450,18811.897,18511.426,19743.320,21070.824,22057.661,23295.028,21346.802,20315.724,20922.857,21544.023,21345.694,19392.761,19689.738,19741.930,20016.605,20302.438,20951.851,21054.115,21415.985,20543.006,21812.445,21261.918,20156.870,19829.562,20315.581,19907.062,20083.859,19687.585,20074.799,20285.086,21040.122,20102.187,19770.494,19827.390,19257.478,19797.835,20190.068,20506.107,21209.847,21051.918,21127.813,20648.111,20648.118,21473.932,20929.473,20245.450,21588.778,21660.330,20675.356,20084.321,21465.123,20647.922,21146.932,21718.152,20553.130,20781.105,20596.406,20163.532,20118.641,21159.902,20506.548,20307.602,21174.506,21111.716,20514.143,20536.678,21647.983,21012.465,20725.690,20762.849,21267.269,21825.843,20905.459,20605.402,20998.941,20157.455,20595.145,20328.651,20681.085,20280.258,21072.172,20364.375,20080.783,19815.184,19905.391,20218.625,21088.103,20046.290,20533.631,20470.435,21516.088,20987.889,21348.786,20884.184,22386.137
430,429,19455.308,19674.970,19592.104,18860.677,19141.492,18644.807,19142.746,19944.922,19943.203,18670.737,18566.614,18092.127,19327.631,18934.435,18753.026,18497.867,18483.545,18150.928,17684.173,17656.929,17951.616,18768.982,18668.631,18813.262,18438.968,18587.402,18454.393,18313.509,17811.569,18240.729,19229.508,17943.846,17246.847,16691.168,18057.159,17913.364,17200.278,20526.055,18324.093,17684.730,18265.178,18037.114,19155.355,18580.848,18595.407,19201.561,18722.819,19193.756,18505.938,18462.714,18634.214,19424.970,19843.179,19779.820,19723.621,18750.079,18825.667,18510.443,19716.751,21037.745,22065.534,23292.710,21451.807,20260.012,20950.228,21560.935,21330.725,19383.926,19736.705,19785.162,20061.946,20287.643,20975.814,21072.169,21384.303,20539.163,21860.635,21322.013,20139.378,19836.542,20329.130,19928.984,20112.529,19678.474,20034.211,20301.262,21073.870,20183.049,19778.944,19824.719,19237.253,19869.343,20177.553,20536.098,21211.454,21095.994,21132.933,20676.986,20671.456,21525.475,20945.023,20280.354,21591.069,21670.945,20723.449,20147.085,21462.804,20678.253,21193.824,21723.620,20537.883,20778.375,20619.018,20196.261,20136.650,21156.575,20505.819,20304.840,21183.302,21132.247,20551.817,20563.905,21659.080,21065.310,20741.982,20824.661,21294.639,21869.568,20880.262,20606.127,21000.109,20164.146,20613.287,20316.122,20680.030,20279.966,21093.551,20381.014,20100.414,19854.260,19968.931,20187.468,21122.909,20065.672,20518.513,20483.205,21546.594,21012.758,21330.702,20903.529,22360.316
431,430,19457.370,19764.494,19496.918,18899.618,19097.246,18670.129,19090.858,20040.227,19997.729,18651.444,18610.806,18080.982,19350.283,18955.172,18796.297,18462.730,18471.327,18144.999,17676.357,17819.516,17953.914,18763.206,18706.428,18788.309,18398.128,18626.224,18401.837,18366.923,17815.858,18190.417,19229.519,17928.063,17246.740,16699.581,18042.809,17910.042,17186.684,20546.130,18342.562,17719.721,18258.954,18024.379,19165.887,18582.062,18619.320,19277.313,18733.569,19183.188,18519.610,18463.099,18614.219,19440.488,19870.353,19830.302,19788.082,18758.662,18842.526,18512.579,19713.962,21020.564,22064.449,23269.916,21462.963,20278.694,20966.969,21605.369,21348.966,19404.556,19815.737,19769.077,20076.047,20302.290,20982.142,21090.357,21340.091,20529.401,21902.734,21402.396,20168.703,19836.266,20321.849,19938.353,20137.007,19657.950,20047.097,20348.053,21082.348,20249.245,19797.837,19824.354,19245.326,19893.651,20148.525,20556.564,21195.182,21106.189,21150.289,20688.739,20723.852,21532.372,20942.487,20338.155,21613.610,21677.640,20757.108,20213.574,21467.621,20700.976,21195.271,21713.996,20509.802,20757.816,20630.626,20241.977,20139.594,21176.716,20478.205,20282.560,21232.200,21102.468,20592.764,20552.249,21656.769,21077.175,20782.883,20845.410,21326.974,21868.567,20882.792,20600.005,21021.241,20230.479,20605.401,20349.201,20675.282,20307.145,21054.209,20373.247,20079.948,19876.964,20010.846,20175.521,21119.771,20068.278,20555.135,20545.985,21568.449,21059.375,21338.184,20912.794,22328.752
432,431,19485.931,19823.590,19492.721,18968.910,19102.159,18735.277,19063.820,20113.151,20064.129,18709.472,18681.833,18082.499,19347.242,18994.117,18800.241,18411.837,18484.803,18191.756,17665.478,18019.838,17942.482,18805.584,18740.037,18773.841,18412.419,18669.261,18393.250,18430.344,17851.575,18225.384,19235.297,17952.182,17274.697,16709.341,18053.511,17913.521,17199.712,20601.134,18392.027,17708.172,18305.329,18028.649,19196.999,18607.638,18678.154,19305.408,18728.219,19147.778,18529.832,18471.585,18659.829,19408.481,19908.797,19883.356,19818.188,18808.724,18828.302,18538.516,19695.902,21035.165,22070.457,23242.870,21492.809,20299.524,20994.848,21653.309,21369.660,19424.914,19833.574,19761.804,20072.096,20330.236,20995.507,21151.230,21371.624,20542.722,21892.988,21507.792,20134.194,19875.616,20361.333,19997.086,20123.818,19660.327,20057.157,20419.099,21080.627,20320.422,19823.218,19829.428,19284.320,19927.475,20143.822,20578.524,21230.351,21112.944,21170.931,20693.279,20753.028,21577.797,20945.415,20358.383,21631.167,21667.226,20784.817,20231.446,21452.487,20753.840,21183.766,21768.140,20524.545,20769.241,20645.006,20232.887,20179.988,21167.607,20449.654,20291.876,21234.378,21125.965,20607.009,20571.303,21676.259,21095.500,20838.667,20867.148,21372.838,21878.851,20880.691,20592.576,21008.889,20272.549,20653.420,20330.748,20672.991,20341.865,21032.994,20375.932,20086.992,19912.064,20027.439,20180.794,21104.440,20096.450,20589.913,20617.322,21607.261,21077.140,21311.680,20949.845,22303.092
433,432,19500.413,19900.104,19518.026,19014.133,19136.028,18799.118,19076.723,20146.723,20123.461,18801.633,18754.644,18112.525,19352.681,18999.543,18808.713,18387.056,18517.723,18230.160,17625.241,18113.667,17962.085,18881.301,18774.850,18854.223,18467.464,18767.959,18417.345,18493.282,17860.944,18260.527,19300.834,17999.636,17318.366,16730.661,18076.633,17966.902,17209.727,20671.146,18434.851,17728.040,18308.506,18040.089,19174.887,18624.511,18730.498,19351.226,18755.882,19168.665,18534.514,18492.647,18712.522,19437.260,19913.670,19942.845,19857.104,18856.095,18818.795,18551.062,19690.014,21007.457,22102.127,23241.049,21555.359,20325.404,20980.283,21636.418,21383.937,19444.173,19867.402,19786.506,20059.765,20354.764,21024.520,21140.556,21387.199,20521.124,21892.919,21533.678,20132.637,19885.350,20378.796,20067.292,20158.388,19669.860,20044.972,20432.236,21086.068,20348.525,19841.023,19826.617,19283.622,19997.033,20072.037,20607.037,21242.477,21155.501,21178.090,20727.680,20782.539,21592.555,20969.315,20405.675,21646.924,21689.338,20849.071,20327.473,21457.625,20801.562,21214.135,21763.092,20557.864,20807.474,20687.887,20187.035,20211.612,21173.021,20465.652,20329.560,21263.582,21168.186,20644.761,20610.731,21704.769,21137.334,20891.161,20861.060,21414.268,21888.124,20894.814,20565.935,21001.179,20293.098,20695.807,20352.656,20652.583,20319.502,21053.708,20374.720,20117.157,19970.051,20074.745,20198.400,21111.089,20151.975,20634.317,20648.536,21612.377,21099.486,21296.831,20976.822,22268.358
434,433,19489.600,19933.269,19498.196,19047.963,19145.188,18822.864,19073.762,20181.063,20147.870,18854.388,18787.264,18121.602,19389.713,19041.793,18817.319,18354.889,18518.872,18295.915,17613.925,18110.700,17971.453,18914.998,18854.722,18936.905,18520.527,18801.722,18414.616,18478.001,17821.906,18294.780,19305.353,18014.533,17305.203,16767.985,18071.472,17971.613,17229.119,20737.678,18462.617,17711.695,18310.449,18000.926,19182.951,18620.899,18741.833,19343.703,18808.860,19195.650,18507.067,18496.558,18733.268,19465.270,19944.584,19981.839,19889.831,18929.650,18823.653,18588.423,19666.607,21019.340,22103.052,23224.763,21618.316,20340.781,21008.571,21669.603,21416.039,19508.370,19902.579,19812.477,20079.617,20393.698,21062.080,21126.595,21355.268,20509.344,21903.138,21533.561,20135.155,19894.092,20381.436,20082.817,20186.565,19681.398,20053.366,20463.924,21060.465,20378.985,19884.893,19840.521,19293.778,20052.995,20038.515,20656.112,21258.374,21196.497,21205.696,20769.089,20781.820,21630.453,20958.131,20441.844,21685.210,21687.548,20922.685,20374.795,21501.007,20865.066,21225.447,21766.745,20559.584,20858.128,20701.163,20174.207,20222.304,21207.414,20433.210,20353.250,21305.384,21200.358,20695.315,20631.134,21731.190,21166.983,20920.127,20895.682,21438.121,21944.713,20906.434,20592.858,21026.689,20340.127,20736.685,20376.369,20673.255,20373.312,21051.852,20387.650,20129.461,20024.707,20108.959,20187.040,21115.566,20166.993,20671.731,20661.615,21671.162,21136.230,21326.255,21013.502,22277.284
435,434,19497.526,19984.412,19524.276,19098.819,19147.303,18870.100,19094.375,20203.783,20150.198,18927.768,18777.810,18149.235,19422.955,19106.416,18797.667,18346.107,18544.294,18361.767,17602.549,18100.663,17985.382,18965.245,18970.185,18980.225,18605.248,18869.893,18475.866,18467.176,17857.019,18322.612,19327.771,18048.594,17348.886,16811.788,18057.199,18000.180,17261.429,20798.651,18508.901,17707.394,18306.136,18029.776,19173.252,18631.927,18766.561,19338.782,18895.679,19250.215,18533.471,18500.361,18780.388,19465.001,19966.672,20060.098,19935.782,18989.063,18823.341,18648.957,19680.230,21010.872,22126.481,23210.222,21599.979,20380.951,21040.022,21698.079,21457.140,19559.657,19945.025,19845.846,20069.151,20365.513,21082.746,21148.784,21353.169,20545.396,21912.855,21596.817,20103.913,19901.545,20420.871,20123.534,20205.180,19713.202,20100.745,20478.367,21038.833,20452.987,19888.069,19822.361,19315.928,20148.518,20071.636,20675.990,21299.685,21198.344,21236.559,20844.859,20842.603,21645.336,20992.639,20480.161,21691.853,21708.711,20971.519,20430.446,21504.631,20898.777,21252.801,21767.896,20527.261,20869.126,20734.377,20190.683,20228.998,21203.468,20402.655,20341.441,21325.662,21196.783,20709.772,20619.693,21724.813,21190.650,20996.540,20922.618,21489.576,21918.918,20963.170,20592.607,21036.542,20344.847,20763.429,20402.804,20639.875,20391.802,21041.886,20450.389,20127.594,20037.114,20104.549,20148.150,21122.809,20208.434,20677.205,20672.376,21728.170,21207.853,21332.145,21058.476,22266.652
436,435,19463.982,20004.419,19510.186,19153.823,19180.146,18896.397,19117.642,20186.216,20121.645,18979.296,18774.697,18156.411,19469.496,19176.557,18789.563,18322.318,18544.975,18425.427,17595.205,18053.643,18037.301,18978.397,19072.413,19014.333,18659.368,18919.152,18483.964,18461.314,17840.597,18323.397,19336.914,18073.804,17388.306,16861.645,18036.155,18045.495,17278.276,20832.328,18514.189,17704.940,18292.227,18021.036,19174.189,18636.398,18774.115,19390.568,18884.535,19249.795,18536.530,18531.496,18808.234,19471.947,19942.011,20077.335,19983.978,19029.074,18843.717,18644.328,19679.970,21061.548,22133.141,23205.117,21605.965,20381.239,21049.145,21733.794,21489.447,19568.642,20009.614,19869.680,20063.871,20384.082,21136.964,21112.020,21382.146,20541.610,21916.249,21597.634,20109.214,19889.401,20431.543,20134.016,20186.857,19766.063,20119.096,20472.918,21080.319,20473.634,19878.732,19833.063,19331.568,20222.595,20066.525,20684.954,21306.701,21203.822,21269.550,20875.720,20879.467,21695.961,21027.116,20535.757,21737.048,21767.291,21024.553,20448.451,21509.835,20883.027,21264.737,21779.137,20524.919,20857.728,20760.236,20205.529,20236.947,21175.646,20418.987,20337.194,21292.059,21217.425,20740.866,20642.355,21746.090,21225.700,21010.373,20903.105,21499.356,21916.322,20960.292,20579.109,21063.451,20347.769,20811.280,20388.977,20601.960,20367.116,21038.078,20517.352,20180.077,20077.987,20125.050,20146.290,21109.950,20278.428,20687.157,20641.406,21761.241,21266.384,21325.760,21121.860,22226.086
437,436,19433.203,19969.837,19501.632,19150.333,19200.752,18899.385,19085.134,20164.679,20086.036,18989.449,18763.506,18145.506,19474.013,19293.822,18760.490,18307.508,18514.456,18437.975,17644.569,17973.219,18053.100,18914.893,19105.469,19043.731,18677.818,18969.302,18483.278,18495.487,17810.873,18325.657,19330.077,18077.614,17408.786,16893.235,17983.102,18066.253,17279.028,20794.114,18476.687,17710.272,18267.233,18015.413,19156.208,18633.838,18751.460,19399.243,18898.310,19309.449,18589.410,18551.914,18794.554,19555.473,19960.541,20113.940,20028.976,19043.829,18841.904,18652.634,19725.408,21074.865,22147.542,23156.639,21587.933,20394.170,21100.616,21735.554,21530.951,19598.303,20046.948,19848.854,20076.763,20366.652,21155.565,21070.569,21346.666,20515.996,21919.508,21594.066,20090.362,19902.570,20463.443,20112.428,20172.162,19752.876,20166.807,20475.772,21077.120,20497.745,19912.057,19874.924,19341.909,20257.721,20051.310,20722.504,21329.731,21213.339,21282.144,20872.492,20942.856,21702.797,21023.231,20542.138,21785.334,21777.759,21010.118,20485.891,21547.786,20909.443,21236.194,21797.181,20536.340,20890.034,20808.269,20175.979,20239.336,21153.133,20396.522,20353.329,21299.273,21233.865,20816.386,20623.231,21771.537,21237.250,21069.935,20912.566,21486.572,21888.215,20958.073,20615.696,21103.298,20337.523,20823.383,20400.154,20633.849,20362.140,21031.067,20555.353,20236.145,20132.261,20118.134,20130.348,21106.589,20284.480,20707.481,20636.433,21741.261,21296.444,21329.261,21145.237,22217.757
438,437,19412.094,19969.411,19510.317,19190.410,19227.070,18903.954,19100.416,20133.799,20080.547,19012.168,18732.722,18181.238,19432.137,19441.639,18710.437,18310.952,18494.839,18469.986,17669.693,17916.054,18049.204,18882.385,19109.809,19066.727,18703.883,18998.533,18466.214,18506.095,17812.815,18335.856,19319.228,18093.715,17420.147,16919.035,17966.617,18095.092,17323.939,20769.923,18482.084,17708.919,18244.078,18026.162,19174.202,18634.653,18765.098,19404.199,18914.819,19315.975,18626.111,18555.267,18802.849,19561.141,19997.640,20114.839,20062.246,19021.411,18839.052,18660.499,19752.249,21087.835,22140.705,23141.531,21558.885,20410.444,21149.465,21770.250,21522.250,19656.820,20091.883,19861.492,20049.497,20380.111,21214.679,21066.819,21337.646,20523.276,21936.814,21613.594,20118.318,19888.268,20484.287,20114.224,20140.717,19776.697,20219.593,20491.444,21117.643,20520.513,19916.025,19852.090,19344.572,20260.685,20073.151,20745.919,21347.695,21221.609,21277.909,20918.051,20974.798,21706.026,21043.478,20602.216,21837.173,21812.183,21008.251,20518.886,21583.281,20888.523,21274.289,21791.759,20563.115,20893.462,20846.696,20171.495,20255.276,21154.011,20426.189,20354.980,21280.641,21256.671,20847.154,20644.138,21761.549,21257.803,21097.409,20933.957,21516.587,21869.304,21005.951,20615.937,21090.980,20304.447,20823.092,20399.248,20608.785,20357.761,21054.843,20637.195,20276.638,20148.709,20121.908,20148.119,21105.097,20296.289,20647.515,20626.622,21767.097,21369.963,21330.079,21142.689,22207.492
