 ,x,1 (25ul250mWBaseline_3.tif),2 (25ul500mWBaseline_3.tif),3 (25ul750mWBaseline_3.tif),4 (25ul1000mWBaseline_3.tif),5 (50ul250mWBaseline_3.tif),6 (50ul500mWBaseline_3.tif),7 (50ul750mWBaseline_3.tif),8 (50ul1000mWBaseline_3.tif),9 (75ul250mWBaseline_3.tif),10 (75ul500mWBaseline_3.tif),11 (75ul750mWBaseline_3.tif),12 (75ul1000mWBaseline_3.tif)
89,88,25077.302,24675.868,24327.254,24120.615,26841.847,26506.324,25750.349,25204.432,25602.296,26161.924,26774.236,26464.934
90,89,25117.381,24693.905,24341.987,24163.977,26949.770,26545.023,25774.529,25205.531,25662.640,26226.952,26839.975,26544.567
91,90,25175.438,24678.430,24321.586,24169.601,27022.718,26561.422,25760.064,25222.360,25638.419,26262.623,26846.133,26556.980
92,91,25285.525,24699.415,24406.138,24230.993,27139.243,26638.665,25831.286,25289.336,25689.064,26284.617,26903.202,26643.207
93,92,25396.553,24787.793,24478.848,24298.615,27276.511,26712.728,25960.245,25354.423,25795.697,26334.769,27031.466,26835.038
94,93,25442.068,24863.678,24503.867,24391.802,27385.361,26736.554,26025.251,25393.795,25819.181,26414.904,27131.408,26950.545
95,94,25445.118,24885.162,24482.937,24370.937,27429.246,26724.831,25998.758,25356.304,25790.749,26444.458,27168.728,26987.689
96,95,25472.056,24904.387,24511.699,24365.529,27592.294,26799.131,26055.765,25348.868,25776.820,26459.870,27215.691,27063.830
97,96,25367.933,24895.587,24455.553,24359.701,27621.579,26757.451,25939.483,25287.471,25759.872,26470.972,27225.324,27066.964
98,97,25340.003,24832.453,24482.315,24297.511,27665.379,26896.078,25950.461,25292.439,25735.210,26451.546,27149.467,27053.050
99,98,25527.131,24885.649,24661.172,24422.118,27840.150,27069.352,26128.002,25459.514,25872.680,26373.229,27243.424,27174.834
100,99,25659.011,25038.588,24767.597,24587.872,27993.721,27194.599,26264.248,25558.422,25990.894,26544.549,27387.710,27307.761
101,100,25755.794,25102.328,24883.358,24693.469,28173.966,27362.231,26372.434,25670.481,26055.358,26677.817,27499.525,27384.540
102,101,25864.459,25190.869,25019.558,24769.458,28334.560,27515.059,26503.289,25814.284,26139.917,26731.164,27586.533,27468.457
103,102,25992.635,25318.856,25141.005,24868.456,28428.119,27644.817,26671.321,25972.318,26257.776,26858.744,27711.802,27578.620
104,103,26039.065,25426.231,25219.151,24955.144,28515.064,27789.616,26840.874,26078.192,26345.714,27018.168,27786.451,27666.235
105,104,26141.613,25510.035,25273.765,25035.136,28649.898,27950.028,26986.806,26153.452,26454.606,27147.023,27910.572,27800.880
106,105,26202.406,25571.192,25323.875,25075.493,28734.169,28060.326,27130.613,26230.948,26578.163,27255.926,28056.058,27904.265
107,106,26228.703,25633.251,25285.649,25129.163,28750.439,28092.750,27187.335,26289.071,26658.237,27320.886,28154.239,28046.186
108,107,26211.481,25628.655,25161.083,25129.716,28757.980,28062.032,27179.491,26279.209,26682.581,27428.148,28239.307,28088.474
109,108,26188.756,25599.019,25096.122,25063.923,28796.568,28127.739,27211.198,26307.968,26671.440,27505.047,28297.551,28086.678
110,109,26231.465,25598.647,25048.755,25015.999,28847.766,28175.299,27258.687,26315.669,26681.061,27524.402,28384.118,28114.229
111,110,26153.145,25514.583,24900.952,24923.993,28783.823,28092.316,27183.765,26227.004,26590.904,27584.604,28391.233,28023.735
112,111,26028.715,25403.815,24740.436,24755.373,28687.202,27988.805,27092.571,26116.659,26496.158,27653.429,28349.319,27900.640
113,112,25919.870,25182.452,24558.515,24555.127,28591.240,27908.805,26965.275,25998.449,26365.725,27595.173,28246.471,27783.759
114,113,25800.167,25004.865,24395.548,24380.715,28491.563,27828.438,26868.914,25887.172,26228.989,27511.870,28147.518,27663.157
115,114,25736.812,24866.673,24260.449,24268.795,28481.549,27814.951,26829.918,25865.333,26175.241,27466.819,28080.031,27579.984
116,115,25805.126,24835.944,24251.002,24271.692,28567.092,27897.839,26919.266,26001.613,26249.288,27474.104,28116.876,27616.733
117,116,25936.559,24900.844,24321.428,24316.339,28713.788,27972.981,27039.668,26119.807,26326.048,27540.469,28213.252,27671.458
118,117,26098.252,25025.264,24382.380,24418.153,28898.009,28104.246,27185.720,26273.469,26463.546,27651.617,28341.838,27810.812
119,118,26293.016,25148.788,24546.558,24546.838,29104.942,28315.544,27373.507,26455.586,26696.472,27774.649,28562.220,28004.101
120,119,26591.492,25361.835,24792.051,24796.968,29325.688,28600.538,27638.197,26762.267,27034.212,28025.884,28877.132,28238.874
121,120,26830.236,25599.049,25027.621,25007.487,29578.943,28860.235,27917.450,27008.999,27375.463,28300.892,29164.421,28489.398
